Quelle est la somme de (4 + 7) ? ; 11; 9; 15; 8; 13; 10
Quel est le produit de (3 * 5) ? ; 15; 8; 20; 12; 6; 18
Combien font (8 - 2) ? ; 6; 10; 4; 7; 5; 9
Quelle est la valeur de (9 / 3) ? ; 3; 6; 4; 2; 5; 7
Si (x = 4), quelle est la valeur de (x + 5) ? ; 9; 7; 12; 6; 11; 8
Quel est le double de (6) ? ; 12; 8; 15; 10; 7; 14
Combien font (3 * (2 + 4)) ? ; 18; 15; 12; 21; 24; 9
Si (y = 7), quelle est la valeur de (y - 3) ? ; 4; 8; 6; 10; 2; 5
Quelle est la différence entre (10) et (3) ? ; 7; 12; 5; 9; 4; 8
Si (a = 2) et (b = 5), quel est le résultat de (a + b) ? ; 7; 10; 12; 5; 8; 14
Quel est le carré de (3) ? ; 9; 6; 12; 5; 7; 15
Combien font (4 * 2 + 1) ? ; 9; 12; 7; 14; 6; 10
Si (m = 6) et (n = 2), quelle est la valeur de (m / n) ? ; 3; 2; 4; 5; 6; 7
Quelle est la somme de (15 + 3) ? ; 18; 20; 14; 17; 22; 12
Si (p = 9) et (q = 4), quel est le résultat de (p - q) ? ; 5; 7; 3; 9; 6; 8
Quel est le résultat de (5 * 2 - 3) ? ; 7; 10; 8; 5; 12; 15
Si (c = 8) et (d = 2), quelle est la valeur de (c / d) ? ; 4; 6; 3; 5; 2; 7
Quelle est la différence entre (12) et (4) ? ; 8; 10; 6; 14; 5; 7
Si (x = 5), quelle est la valeur de (x * 3) ? ; 15; 18; 12; 20; 14; 10
Quel est le résultat de (7 + 2) ? ; 9; 11; 6; 8; 13; 10
Si (y = 3), quelle est la valeur de (2y + 4) ? ; 10; 8; 12; 6; 14; 7
Combien font (6 / 2) ? ; 3; 4; 5; 6; 2; 7
Quelle est la somme de (8 + 6) ? ; 14; 12; 18; 10; 16; 20
Si (a = 4) et (b = 3), quel est le résultat de (a * b) ? ; 12; 8; 15; 10; 6; 18
Quel est le double de (9) ? ; 18; 14; 16; 12; 20; 24
Combien font (5 * (2 + 1)) ? ; 15; 12; 18; 21; 24; 9
Si (m = 7) et (n = 2), quelle est la valeur de (m - n) ? ; 5; 8; 6; 10; 3; 7
Quelle est la différence entre (10) et (6) ? ; 4; 8; 5; 9; 3; 7
Si (p = 5) et (q = 2), quel est le résultat de (p / q) ? ; 2; 3; 4; 5; 6; 7
Quel est le carré de (4) ? ; 16; 12; 8; 10; 14; 18
Combien font (3 * 5 + 2) ? ; 17; 20; 15; 12; 22; 25