Quelle équipe de football a remporté le dernier championnat national marocain? ; Wydad Casablanca; Raja Casablanca; FUS Rabat; FAR Rabat; Hassania Agadir; Wydad Fès
Quel joueur de football marocain est connu pour ses performances exceptionnelles en Europe? ; Hakim Ziyech; Achraf Hakimi; Noussair Mazraoui; Youssef En-Nesyri; Sofiane Boufal; Romain Saïss
Quel est le stade de football emblématique de Casablanca? ; Stade Mohammed V; Stade Adrar; Stade Ibn Batouta; Stade de Marrakech; Stade Municipal de Tanger; Stade de Fès
Quelle discipline sportive est associée au terme "taekwondo"? ; Arts martiaux; Natation; Escrime; Athlétisme; Tennis; Football
Quel est le nom du marathon annuel organisé dans les rues de Marrakech? ; Marathon International de Marrakech; Marathon des Sables; Semi-marathon de Marrakech; Marathon de Casablanca; Marathon de Fès; Marathon de Rabat
Quel athlète marocain a remporté une médaille d'or aux Jeux Olympiques dans les années 1980? ; Nawal El Moutawakel; Hicham El Guerrouj; Saïd Aouita; Abdellah Falil; Nezha Bidouane; Salah Hissou
Quel sport est associé au terme "surf des neiges"? ; Snowboard; Ski alpin; Patinage artistique; Luge; Ski de fond; Curling
Quelle équipe nationale de rugby représente le Maroc dans les compétitions internationales? ; Lions de l'Atlas; Éperviers du Désert; Aigles de Carthage; Lions Indomptables; Léopards de la RDC; Super Eagles
Quel est le nom du célèbre boxeur marocain qui a remporté des titres mondiaux dans sa catégorie? ; Mohammed Rabii; Badr Hari; Mohamed Mimoune; Aziz Jellouli; Mehdi Amar; Hassan N'Dam N'Jikam
Dans quel sport les équipes de Casablanca et de Rabat s'affrontent-elles régulièrement lors du "Derby Casablancais"? ; Football; Basketball; Rugby; Tennis; Handball; Volleyball
Quelle ville marocaine a accueilli la Coupe d'Afrique des Nations de football en 1988? ; Rabat; Casablanca; Marrakech; Tanger; Fès; Agadir
Quel est le nom du célèbre coureur marocain qui a détenu le record mondial du marathon dans les années 2000? ; Hicham El Guerrouj; Salah Hissou; Khalid Khannouchi; Abderrahim Goumri; Jaouad Gharib; Rachid Ramzi
Quelle est la discipline sportive associée au terme "jiu-jitsu"? ; Arts martiaux; Athlétisme; Escrime; Boxe; Natation; Tennis
Quel est le nom du célèbre club de football de Tanger qui a émergé comme une force compétitive ces dernières années? ; Renaissance de Berkane; Ittihad Tanger; Moghreb Tétouan; Chabab Rif Al Hoceima; Difaâ El Jadida; Kawkab Marrakech
Quelle joueuse de tennis marocaine a fait sensation sur la scène internationale dans les années récentes? ; Ons Jabeur; Nadia Lalami; Fatima Zahrae El Allami; Bahia Mouhtassine; Lina Qostal; Ghita Benhadi
Quel est le nom du célèbre événement de cyclisme qui traverse le Maroc chaque année? ; Tour Cycliste du Maroc; Tour de France; Giro d'Italia; Vuelta a España; Paris-Roubaix; Milan-San Remo
Quel est le surnom de l'équipe nationale marocaine de football? ; Lions de l'Atlas; Éperviers du Désert; Aigles de Carthage; Lions Indomptables; Léopards de la RDC; Super Eagles
Quel joueur de basketball marocain a représenté le pays dans des compétitions internationales? ; Abderrahim Najah; Mohamed Hadidane; Mohamed Choua; Jamal Mashburn; Hicham El Fatihi; Zakaria El Masbahi
Quelle ville marocaine est connue pour ses événements de sports nautiques, notamment le windsurf et le kitesurf? ; Essaouira; Agadir; Dakhla; Tanger; El Jadida; Oualidia
Quel est le nom de la célèbre joueuse de judo marocaine qui a remporté des médailles aux Jeux Olympiques? ; Wiam Dislam; Rizlen Zouak; Asmaa Niang; Rkia El Moussali; Fatima Zahra Abou Fares; Lina Tallah
Dans quel sport les frères El Bakkali, Soufiane et Abdeljalil, sont-ils célèbres? ; Athlétisme (steeplechase); Boxe; Judo; Football; Natation; Tennis
Quel est le nom du célèbre stade de football situé à Marrakech? ; Stade de Marrakech; Stade Adrar; Stade Ibn Batouta; Stade Mohammed V; Stade Municipal de Tanger; Stade de Fès
Quelle est la discipline sportive associée au terme "escrime"? ; Arts martiaux; Natation; Escrime; Athlétisme; Tennis; Football
Quel est le nom du célèbre joueur de football marocain qui a été surnommé le "Maestro" au cours de sa carrière? ; Mustapha Hadji; Nabil Dirar; Abdelkrim Merry; Hakim Ziyech; Abdelmajid Dolmy; Noureddine Naybet
Quel est le nom du célèbre champion de kickboxing marocain, multiple champion du monde? ; Badr Hari; Jamal Ben Saddik; Ismael Lazaar; Mohammed Jaraya; Anas Astitou; Youssef Boughanem